site,X,Y,surfK
pp_1,6158697.216,2039129.341,4
pp_2,6159900.852,2038560.604,4
pp_3,6160215.24,2038264.626,4
pp_4,6160382.613,2037825.168,4
pp_5,6162414.543,2036083.667,4
pp_6,6163902.23,2034507.287,4
pp_7,6163905.386,2033002.9,4
pp_8,6164494.759,2031307.092,4
pp_9,6165281.182,2029960.319,4
pp_10,6165851.257,2029296.526,4
pp_11,6166130.252,2026561.343,4
pp_12,6166490.871,2025503.104,3
pp_13,6167303.421,2024093.306,4
pp_14,6157779.176,2039075.919,3
pp_15,6156675.067,2037623.143,1
pp_16,6159522.508,2038000.865,3
pp_17,6159734.085,2039640.874,4
pp_18,6163010.006,2040943.836,1
pp_19,6161161.999,2036924.355,3
pp_20,6160761.486,2038300.028,3
pp_21,6162694.394,2036732.806,3
pp_22,6163056.909,2038210.1,3
pp_23,6165497.98,2037446.763,3
pp_24,6164389.158,2035638.929,3
pp_25,6163613.529,2035192.355,4
pp_26,6164769.326,2034937.417,4
pp_27,6168852.552,2040074.773,1
pp_28,6164798.828,2038631.247,3
pp_29,6166576.585,2036737.966,1
pp_30,6166988.005,2033154.822,3
pp_31,6167892.352,2035293.44,4
pp_32,6166982.165,2031289.087,3
pp_33,6169151.136,2032435.291,1
pp_34,6161551.895,2035655.697,4
pp_35,6163049.803,2034762.967,4
pp_36,6162937.546,2033601.949,4
pp_37,6163226.142,2032276.586,4
pp_38,6157641.293,2026712.043,1
pp_39,6161922.461,2027532.081,1
pp_40,6165254.042,2028696.902,4
pp_41,6160783.287,2030656.279,1
pp_42,6166805.826,2028961.41,3
pp_43,6169539.082,2030248.686,1
pp_44,6167634.62,2026915.876,3
pp_45,6165024.801,2026616.1,1
pp_46,6164865.968,2024935.858,1
pp_47,6168196.326,2023515.359,3
pp_48,6173038.668,2026527.972,1
pp_49,6169506.392,2021232.101,3
pp_50,6164234.881,2019734.306,1
pp_51,6166324.802,2023103.624,1
pp_52,6169019.796,2019323.146,3
pp_53,6171415.347,2018200.232,1
pp_54,6170142.71,2015954.404,1
pp_55,6165826.899,2013542.655,1
pp_56,6172876.914,2013124.39,3
pp_57,6180328.705,2002016.95,1
pp_58,6174267.693,2000586.823,1
pp_59,6179256.533,2007675.381,1
pp_60,6184210.477,1996024.038,1
pp_61,6173503.398,1995500.168,1
pp_62,6178013.262,1986285.557,1
pp_63,6192382.629,1996092.14,1
pp_64,6191020.604,1989622.519,1
pp_65,6185844.908,2001472.14,2
pp_66,6186321.617,2006715.937,1
pp_67,6192900.251,2005900.251,1
pp_68,6189689.249,2007279.251,1
pp_69,6178285.667,2010529.608,2
pp_70,6168955.794,2007192.646,2
pp_71,6170204.891,2011992.563,1
pp_72,6176583.136,2016931.127,1
pp_73,6185231.996,2022106.823,1
pp_74,6176100.679,2031453.067,1
pp_75,6178479.922,2026237.035,1
pp_76,6173080.871,2037309.664,1
pp_77,6182493.71,2042885.465,3
pp_78,6167590.311,2049205.878,1
pp_79,6194311.037,2021478.549,1
pp_80,6199252.541,2027518.165,2
pp_81,6212246.866,2021844.587,2
pp_82,6205292.157,2010588.939,1
pp_83,6206481.778,2005189.888,2
pp_84,6216181.768,1998784.234,1
pp_85,6204377.064,1994391.786,1
pp_86,6219688.71,1988155.484,1
pp_87,6230289.063,1980695.089,1
pp_88,6228718.547,1949186.175,1
pp_89,6215541.202,1969958.794,1
pp_90,6204794.795,1984695.893,1
pp_91,6244458.152,1926857.898,1
pp_92,6236487.146,1940328.489,2
pp_93,6258930.314,1941450.553,3
pp_94,6239106.396,1959293.604,2
pp_95,6155533.889,2045121.916,1
pp_96,6150671.742,2037564.129,1
pp_97,6144941.039,2049449.208,1
pp_98,6142915.354,2065288.031,1
pp_99,6138677.214,2040253.908,1
pp_100,6160027.236,2033926.281,3
