HRU_ID	pPts	lyr1zones	lyr2zones	lyr3zones	lyr4zones
508810	pp1	0	0	5	5
461736	pp2	0	2	5	5
457636	pp3	0	3	5	5
430809	pp4	0	0	5	5
395059	pp5	0	2	5	5
357735	pp6	0	0	5	5
319901	pp7	0	3	5	5
305733	pp8	0	3	5	5
299984	pp9	0	0	5	5
293874	pp10	0	0	5	5
288115	pp11	0	0	5	5
272035	pp12	0	0	5	5
267669	pp13	0	0	5	5
265617	pp14	0	0	5	5
265657	pp15	0	0	5	5
256650	pp16	0	0	5	5
250123	pp17	0	0	5	5
246671	pp18	0	2	5	5
244537	pp19	0	0	5	5
234138	pp20	0	2	5	5
231262	pp21	0	3	5	5
228421	pp22	0	0	5	5
226930	pp23	0	2	5	5
226332	pp24	0	3	5	5
224876	pp25	0	3	5	5
215043	pp26	0	2	5	5
215178	pp27	0	0	5	5
210089	pp28	0	0	5	5
205890	pp29	0	3	5	5
204451	pp30	0	0	5	5
196048	pp31	0	0	5	5
192570	pp32	0	0	5	5
187631	pp33	0	0	5	5
184109	pp34	0	3	4	5
182681	pp35	0	0	5	5
177091	pp36	0	3	4	5
176513	pp37	0	0	5	5
175199	pp38	0	2	5	5
174362	pp39	0	0	5	5
170757	pp40	0	0	5	5
169362	pp41	0	3	4	5
167252	pp42	1	3	4	5
164432	pp43	0	0	5	5
162334	pp44	0	3	4	5
159586	pp45	0	0	5	5
158822	pp46	1	3	4	5
158857	pp47	0	0	5	5
158078	pp48	0	0	5	5
158115	pp49	0	0	5	5
157426	pp50	0	3	4	5
155291	pp51	0	0	5	5
155478	pp52	0	2	5	5
151096	pp53	1	3	4	5
150402	pp54	0	3	4	5
148993	pp55	1	3	4	5
146884	pp56	1	3	4	5
145501	pp57	0	0	5	5
144053	pp58	0	0	5	5
141966	pp59	1	3	4	5
141978	pp60	0	3	4	5
141322	pp61	0	0	5	5
138450	pp62	1	3	4	5
137777	pp63	0	0	5	5
135645	pp64	1	3	4	5
135660	pp65	0	3	4	5
133534	pp66	1	3	4	5
132818	pp67	0	3	4	5
130731	pp68	1	3	4	5
130025	pp69	1	3	4	5
129331	pp70	1	3	4	5
128624	pp71	1	3	4	5
127943	pp72	1	3	4	5
126507	pp73	1	3	4	5
126521	pp74	0	3	4	5
125108	pp75	1	3	4	5
123003	pp76	0	3	4	5
123022	pp77	0	0	4	5
122293	pp78	0	3	4	5
120949	pp79	0	0	4	5
120135	pp80	0	0	5	5
120209	pp81	0	3	4	5
119463	pp82	0	0	4	5
118779	pp83	1	3	4	5
118073	pp84	0	3	4	5
117375	pp85	1	3	4	5
117377	pp86	0	3	4	5
117389	pp87	0	3	4	5
116671	pp88	1	3	4	5
115993	pp89	0	3	4	5
114554	pp90	0	3	4	5
114559	pp91	1	3	4	5
112458	pp92	1	3	4	5
111100	pp93	0	0	4	5
110247	pp94	0	0	5	5
108263	pp95	0	0	4	5
101340	pp96	0	3	4	5
93483	pp97	0	0	5	5
78801	pp98	0	0	4	5
77986	pp99	0	3	5	5
22518	pp100	0	3	5	5
