id,initial,min,max,group
ssr2gw_01,10,0.1,1000,ssr2gw_scale
ssr2gw_02,10,0.1,1000,ssr2gw_scale
ssr2gw_03,10,0.1,1000,ssr2gw_scale
ssr2gw_04,10,0.1,1000,ssr2gw_scale
ssr2gw_05,10,0.1,1000,ssr2gw_scale
ssr2gw_06,10,0.1,1000,ssr2gw_scale
ssr2gw_07,10,0.1,1000,ssr2gw_scale
ssr2gw_08,10,0.1,1000,ssr2gw_scale
ssr2gw_09,10,0.1,1000,ssr2gw_scale
ssr2gw_10,10,0.1,1000,ssr2gw_scale
ssr2gw_11,10,0.1,1000,ssr2gw_scale
ssr2gw_12,10,0.1,1000,ssr2gw_scale
bedlknc_h_02,1000,0.0000001,1000,lkbdlknc
bedlknc_h_03,1000,0.0000001,1000,lkbdlknc
bedlknc_h_04,1000,0.0000001,1000,lkbdlknc
bedlknc_h_05,1000,0.0000001,1000,lkbdlknc
bedlknc_h_06,1000,0.0000001,1000,lkbdlknc
bedlknc_h_07,1000,0.0000001,1000,lkbdlknc
bedlknc_h_08,1000,0.0000001,1000,lkbdlknc
bedlknc_h_09,1000,0.0000001,1000,lkbdlknc
bedlknc_h_10,1000,0.0000001,1000,lkbdlknc
bedlknc_l_02,1000,0.0000001,1000,lkbdlknc
bedlknc_l_03,1000,0.0000001,1000,lkbdlknc
bedlknc_l_04,1000,0.0000001,1000,lkbdlknc
bedlknc_l_05,1000,0.0000001,1000,lkbdlknc
bedlknc_l_06,1000,0.0000001,1000,lkbdlknc
bedlknc_l_07,1000,0.0000001,1000,lkbdlknc
bedlknc_l_08,1000,0.0000001,1000,lkbdlknc
bedlknc_l_09,1000,0.0000001,1000,lkbdlknc
bedlknc_l_10,1000,0.0000001,1000,lkbdlknc
strmbdk_1,0.285685,0.001,5669.3,strmbdk
strmbdk_2,0.8525452,0.001,5669.3,strmbdk
strmbdk_3,0.1191662,0.001,5669.3,strmbdk
strmbdk_4,0.4267345,0.001,5669.3,strmbdk
strmbdk_5,0.1908048,0.001,5669.3,strmbdk
