Pond,HY,Year,Month,Day,Q_cfs
F2,2009,2008,10,1,3.3
F2,2009,2008,10,2,3.3
F2,2009,2008,10,3,3.3
F2,2009,2008,10,4,3.3
F2,2009,2008,10,5,3.3
F2,2009,2008,10,6,3.3
F2,2009,2008,10,7,3.3
F2,2009,2008,10,8,3.3
F2,2009,2008,10,9,3.3
F2,2009,2008,10,10,3.3
F2,2009,2008,10,11,3.3
F2,2009,2008,10,12,3.3
F2,2009,2008,10,13,3.3
F2,2009,2008,10,14,3.3
F2,2009,2008,10,15,3.3
F2,2009,2008,10,16,3.3
F2,2009,2008,10,17,3.3
F2,2009,2008,10,18,3.3
F2,2009,2008,10,19,3.3
F2,2009,2008,10,20,3.3
F2,2009,2008,10,21,3.3
F2,2009,2008,10,22,3.3
F2,2009,2008,10,23,3.3
F2,2009,2008,10,24,3.3
F2,2009,2008,10,25,3.3
F2,2009,2008,10,26,3.3
F2,2009,2008,10,27,3.3
F2,2009,2008,10,28,3.3
F2,2009,2008,10,29,3.3
F2,2009,2008,10,30,3.3
F2,2009,2008,10,31,3.3
F2,2009,2008,11,1,3.3
F2,2009,2008,11,2,3.3
F2,2009,2008,11,3,7.8
F2,2009,2008,11,4,7.8
F2,2009,2008,11,5,3.3
F2,2009,2008,11,6,3.3
F2,2009,2008,11,7,3.3
F2,2009,2008,11,8,3.3
F2,2009,2008,11,9,3.3
F2,2009,2008,11,10,3.3
F2,2009,2008,11,11,3.3
F2,2009,2008,11,12,3.3
F2,2009,2008,11,13,3.3
F2,2009,2008,11,14,3.3
F2,2009,2008,11,15,3.3
F2,2009,2008,11,16,3.3
F2,2009,2008,11,17,3.3
F2,2009,2008,11,18,3.3
F2,2009,2008,11,19,3.3
F2,2009,2008,11,20,3.3
F2,2009,2008,11,21,3.3
F2,2009,2008,11,22,3.3
F2,2009,2008,11,23,3.3
F2,2009,2008,11,24,3.3
F2,2009,2008,11,25,3.3
F2,2009,2008,11,26,3.3
F2,2009,2008,11,27,3.3
F2,2009,2008,11,28,3.3
F2,2009,2008,11,29,3.3
F2,2009,2008,11,30,3.3
F2,2009,2008,12,1,7.8
F2,2009,2008,12,2,7.8
F2,2009,2008,12,3,7.8
F2,2009,2008,12,4,3.3
F2,2009,2008,12,5,3.3
F2,2009,2008,12,6,3.3
F2,2009,2008,12,7,3.3
F2,2009,2008,12,8,3.3
F2,2009,2008,12,9,3.3
F2,2009,2008,12,10,3.3
F2,2009,2008,12,11,3.3
F2,2009,2008,12,12,3.3
F2,2009,2008,12,13,3.3
F2,2009,2008,12,14,3.3
F2,2009,2008,12,15,3.3
F2,2009,2008,12,16,3.3
F2,2009,2008,12,17,7.8
F2,2009,2008,12,18,7.8
F2,2009,2008,12,19,3.3
F2,2009,2008,12,20,3.3
F2,2009,2008,12,21,3.3
F2,2009,2008,12,22,3.3
F2,2009,2008,12,23,3.3
F2,2009,2008,12,24,3.3
F2,2009,2008,12,25,3.3
F2,2009,2008,12,26,3.3
F2,2009,2008,12,27,3.3
F2,2009,2008,12,28,3.3
F2,2009,2008,12,29,7.8
F2,2009,2008,12,30,7.8
F2,2009,2008,12,31,7.8
F2,2009,2009,1,1,3.3
F2,2009,2009,1,2,3.3
F2,2009,2009,1,3,3.3
F2,2009,2009,1,4,3.3
F2,2009,2009,1,5,7.8
F2,2009,2009,1,6,3.3
F2,2009,2009,1,7,3.3
F2,2009,2009,1,8,0
F2,2009,2009,1,9,0
F2,2009,2009,1,10,4.5
F2,2009,2009,1,11,0
F2,2009,2009,1,12,4.5
F2,2009,2009,1,13,2.2
F2,2009,2009,1,14,2.2
F2,2009,2009,1,15,2.2
F2,2009,2009,1,16,2.2
F2,2009,2009,1,17,2.2
F2,2009,2009,1,18,2.2
F2,2009,2009,1,19,2.2
F2,2009,2009,1,20,2.2
F2,2009,2009,1,21,2.2
F2,2009,2009,1,22,2.2
F2,2009,2009,1,23,2.2
F2,2009,2009,1,24,2.2
F2,2009,2009,1,25,2.2
F2,2009,2009,1,26,2.2
F2,2009,2009,1,27,2.2
F2,2009,2009,1,28,1.1
F2,2009,2009,1,29,1.1
F2,2009,2009,1,30,1.1
F2,2009,2009,1,31,1.1
F2,2009,2009,2,1,1.1
F2,2009,2009,2,2,1.1
F2,2009,2009,2,3,1.1
F2,2009,2009,2,4,1.1
F2,2009,2009,2,5,1.1
F2,2009,2009,2,6,1.1
F2,2009,2009,2,7,1.1
F2,2009,2009,2,8,1.1
F2,2009,2009,2,9,1.1
F2,2009,2009,2,10,1.1
F2,2009,2009,2,11,1.1
F2,2009,2009,2,12,1.1
F2,2009,2009,2,13,1.1
F2,2009,2009,2,14,1.1
F2,2009,2009,2,15,1.1
F2,2009,2009,2,16,1.1
F2,2009,2009,2,17,1.1
F2,2009,2009,2,18,1.1
F2,2009,2009,2,19,1.1
F2,2009,2009,2,20,1.1
F2,2009,2009,2,21,1.1
F2,2009,2009,2,22,1.1
F2,2009,2009,2,23,1.1
F2,2009,2009,2,24,1.1
F2,2009,2009,2,25,1.1
F2,2009,2009,2,26,1.1
F2,2009,2009,2,27,1.1
F2,2009,2009,2,28,1.1
F2,2009,2009,3,1,1.1
F2,2009,2009,3,2,1.1
F2,2009,2009,3,3,1.1
F2,2009,2009,3,4,4.5
F2,2009,2009,3,5,4.5
F2,2009,2009,3,6,4.5
F2,2009,2009,3,7,4.5
F2,2009,2009,3,8,4.5
F2,2009,2009,3,9,4.5
F2,2009,2009,3,10,4.5
F2,2009,2009,3,11,4.5
F2,2009,2009,3,12,4.5
F2,2009,2009,3,13,4.5
