date,ymd,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,v3,v4,v6
2006-11-03,20061103,255.56,259.43,210,243.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-04,20061104,255.57,259.46,251.81,243.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-05,20061105,255.6,259.54,251.58,243.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-06,20061106,255.63,259.63,251.36,243.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-07,20061107,255.63,259.68,251.12,243.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-08,20061108,255.63,259.72,250.84,242.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-09,20061109,255.78,256.13,250.73,242.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-10,20061110,255.86,253.96,250.58,242.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-11,20061111,255.86,253.96,250.34,242.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-12,20061112,255.9,253.97,250.13,242.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-13,20061113,255.91,253.96,249.92,241.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-14,20061114,255.99,254.01,249.88,241.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-15,20061115,256.07,254.05,249.71,241.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-16,20061116,256.19,254.14,249.46,241.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-17,20061117,256.28,254.26,249.22,241.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-18,20061118,256.32,254.36,249.02,241.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-19,20061119,256.35,254.43,248.83,240.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-20,20061120,256.39,254.45,248.62,240.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-21,20061121,256.43,254.44,248.44,240.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-22,20061122,256.47,254.41,248.3,240.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-23,20061123,256.56,254.42,248.17,240.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-24,20061124,256.63,254.43,248,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-25,20061125,256.68,254.43,247.81,239.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-26,20061126,256.75,254.45,247.64,239.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-27,20061127,256.82,254.47,247.5,239.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-28,20061128,256.87,254.46,247.42,239.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-29,20061129,256.98,254.55,247.38,239.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-30,20061130,257.49,254.65,247.2,239.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-01,20061201,257.42,254.82,246.96,238.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-02,20061202,257.27,254.93,246.79,238.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-03,20061203,257.24,254.93,246.66,238.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-04,20061204,257.23,254.88,246.52,238.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-05,20061205,257.23,254.82,246.4,238.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-06,20061206,257.28,254.8,246.36,238.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-07,20061207,257.29,254.77,246.28,238.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-08,20061208,257.32,254.76,246.17,238.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-09,20061209,257.37,254.79,246.14,238.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-10,20061210,257.47,254.86,246.19,238.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-11,20061211,257.6,255.08,246.14,238.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-12,20061212,257.71,255.34,246.35,238.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-13,20061213,257.99,255.72,246.39,238.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-14,20061214,259.35,256.18,246.3,238.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-15,20061215,260.41,257.05,246.17,238.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-16,20061216,260.86,257.96,246.05,238.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-17,20061217,261.13,258.59,246.05,238.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-18,20061218,261.28,258.96,246.05,238.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-19,20061219,261.37,259.23,246.12,238.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-20,20061220,261.44,259.44,246.27,238.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
