"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.71719360352E+02   2.58799987793E+02  m01         
   2.65451965332E+02   2.54899993896E+02  m02         
   2.59743743896E+02   2.44100006104E+02  m03         
   2.50761001587E+02   2.39199996948E+02  m04         
   2.43009826660E+02   2.30800003052E+02  m05         
   2.36093475342E+02   2.28199996948E+02  m06         
   2.25632690430E+02   2.21000000000E+02  m07         
   2.26878784180E+02   2.21500000000E+02  m08         
   2.26415771484E+02   2.20699996948E+02  m09         
   2.23525817871E+02   2.12199996948E+02  m10         
   3.09446441650E+02   3.10299987793E+02  v3          
   2.99410064697E+02   3.03700012207E+02  v4          
   2.92707855225E+02   2.95799987793E+02  v6          
