 "GAGE No.    5:  K,I,J Coord. =     1,  320,  236;  STREAM SEGMENT =   368;  REACH =     6 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   4.9200119E+02   1.1897543E-03   4.9200119E+02   2.7844141E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   4.9200159E+02   1.5842997E-03   4.9200159E+02   4.4878037E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   4.9200235E+02   2.3647856E-03   4.9200235E+02   8.7489912E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   4.9200259E+02   2.5928323E-03   4.9200259E+02   1.0199895E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   4.9200204E+02   2.0327074E-03   4.9200204E+02   6.7987607E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   4.9200201E+02   2.0027463E-03   4.9200201E+02   6.6325659E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   4.9200198E+02   1.9827585E-03   4.9200198E+02   6.5226084E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   4.9200180E+02   1.8058594E-03   4.9200180E+02   5.5818501E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   4.9200143E+02   1.4332237E-03   4.9200143E+02   3.7974753E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   4.9200180E+02   1.7864942E-03   4.9200180E+02   5.4824448E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   4.9200195E+02   1.9441945E-03   4.9200195E+02   6.3125449E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   4.9200211E+02   2.0949575E-03   4.9200211E+02   7.1493027E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   4.9200211E+02   2.0909861E-03   4.9200211E+02   7.1267280E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   4.9200192E+02   1.9314652E-03   4.9200192E+02   6.2438115E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   4.9200192E+02   1.9284595E-03   4.9200192E+02   6.2276255E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   4.9200192E+02   1.9259141E-03   4.9200192E+02   6.2139321E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.7000000E+01   4.9200208E+02   2.0803169E-03   4.9200208E+02   7.0662256E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.8000000E+01   4.9200208E+02   2.0784969E-03   4.9200208E+02   7.0559238E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.9000000E+01   4.9200223E+02   2.2261201E-03   4.9200223E+02   7.9107793E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+01   4.9200223E+02   2.2247417E-03   4.9200223E+02   7.9026182E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.1000000E+01   4.9200223E+02   2.2235038E-03   4.9200223E+02   7.8952891E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.2000000E+01   4.9200223E+02   2.2223841E-03   4.9200223E+02   7.8886641E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.3000000E+01   4.9200223E+02   2.2214083E-03   4.9200223E+02   7.8828931E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.4000000E+01   4.9200208E+02   2.0710139E-03   4.9200208E+02   7.0136372E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.5000000E+01   4.9200192E+02   1.9130352E-03   4.9200192E+02   6.1448301E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.6000000E+01   4.9200208E+02   2.0693794E-03   4.9200208E+02   7.0044150E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.7000000E+01   4.9200208E+02   2.0686572E-03   4.9200208E+02   7.0003413E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.8000000E+01   4.9200192E+02   1.9107452E-03   4.9200192E+02   6.1325757E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.9000000E+01   4.9200192E+02   1.9100915E-03   4.9200192E+02   6.1290796E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+01   4.9200208E+02   2.0730938E-03   4.9200208E+02   7.0253809E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.1000000E+01   4.9200208E+02   2.0694504E-03   4.9200208E+02   7.0048149E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.2000000E+01   4.9200549E+02   5.4921666E-03   4.9200549E+02   3.5635086E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.3000000E+01   4.9200253E+02   2.5299038E-03   4.9200253E+02   9.7906533E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.4000000E+01   4.9200281E+02   2.8086442E-03   4.9200281E+02   1.1653764E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.5000000E+01   4.9200259E+02   2.6024983E-03   4.9200259E+02   1.0263349E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.6000000E+01   4.9200256E+02   2.5624454E-03   4.9200256E+02   1.0001443E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.7000000E+01   4.9200211E+02   2.1062039E-03   4.9200211E+02   7.2133823E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.8000000E+01   4.9200192E+02   1.9228855E-03   4.9200192E+02   6.1976543E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.9000000E+01   4.9200220E+02   2.1954428E-03   4.9200220E+02   7.7299233E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+01   4.9200192E+02   1.9332505E-03   4.9200192E+02   6.2534331E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.1000000E+01   4.9200189E+02   1.9059330E-03   4.9200189E+02   6.1068560E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.2000000E+01   4.9200189E+02   1.8839717E-03   4.9200189E+02   5.9900293E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.3000000E+01   4.9200171E+02   1.6972016E-03   4.9200171E+02   5.0333916E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.4000000E+01   4.9200168E+02   1.6817177E-03   4.9200168E+02   4.9570898E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.5000000E+01   4.9200150E+02   1.4849793E-03   4.9200150E+02   4.0287681E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.6000000E+01   4.9200165E+02   1.6574939E-03   4.9200165E+02   4.8386567E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.7000000E+01   4.9200146E+02   1.4626589E-03   4.9200146E+02   3.9283486E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.8000000E+01   4.9200165E+02   1.6396265E-03   4.9200165E+02   4.7520376E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.9000000E+01   4.9200162E+02   1.6322355E-03   4.9200162E+02   4.7163896E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+01   4.9200162E+02   1.6258030E-03   4.9200162E+02   4.6854517E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.1000000E+01   4.9200162E+02   1.6200384E-03   4.9200162E+02   4.6577959E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
